currency,data_format,industry_format,tic,fyear,company name,stockholders_equity,net income,revenue,,,
USD,STD,INDL,ABT,2010,ABBOTT LABORATORIES,22388.135,4626.172,35166.721,,,
USD,STD,INDL,ABT,2011,ABBOTT LABORATORIES,24439.833,4728.449,38851.259,,,
USD,STD,INDL,ABT,2012,ABBOTT LABORATORIES,26720.961,5962.92,39873.91,,,
USD,STD,INDL,ABT,2013,ABBOTT LABORATORIES,25171,2576,21848,,,
USD,STD,INDL,ABT,2014,ABBOTT LABORATORIES,21526,2284,20247,,,
USD,STD,INDL,ABT,2015,ABBOTT LABORATORIES,21211,4423,20405,,,101
USD,STD,INDL,ABT,2016,ABBOTT LABORATORIES,20538,1400,20853,,,
USD,STD,INDL,ABT,2017,ABBOTT LABORATORIES,30897,477,27390,,,
USD,STD,INDL,ABT,2018,ABBOTT LABORATORIES,30524,2368,30578,,,
USD,STD,INDL,ABT,2019,ABBOTT LABORATORIES,31088,3687,31904,,,
USD,STD,INDL,ABT,2020,ABBOTT LABORATORIES,32784,4495,34608,,,
USD,STD,INDL,ABT,2021,ABBOTT LABORATORIES,35802,7071,43075,,,
USD,STD,INDL,ABT,2022,ABBOTT LABORATORIES,36686,6933,43653,,,
USD,STD,INDL,ABT,2023,ABBOTT LABORATORIES,38603,5723,40109,,,
USD,STD,INDL,ABT,2024,ABBOTT LABORATORIES,47664,13402,41950,,,
USD,STD,INDL,AMD,2010,ADVANCED MICRO DEVICES,1013,471,6494,,,
USD,STD,INDL,AMD,2011,ADVANCED MICRO DEVICES,1590,491,6568,,,
USD,STD,INDL,AMD,2012,ADVANCED MICRO DEVICES,538,-1183,5422,,,
USD,STD,INDL,AMD,2013,ADVANCED MICRO DEVICES,544,-83,5299,,,
USD,STD,INDL,AMD,2014,ADVANCED MICRO DEVICES,187,-403,5506,,,
USD,STD,INDL,AMD,2015,ADVANCED MICRO DEVICES,-412,-660,3991,,,
USD,STD,INDL,AMD,2016,ADVANCED MICRO DEVICES,416,-497,4272,,,
USD,STD,INDL,AMD,2017,ADVANCED MICRO DEVICES,611,43,5329,,,
USD,STD,INDL,AMD,2018,ADVANCED MICRO DEVICES,1266,337,6475,,,
USD,STD,INDL,AMD,2019,ADVANCED MICRO DEVICES,2827,341,6731,,,
USD,STD,INDL,AMD,2020,ADVANCED MICRO DEVICES,5837,2490,9763,,,
USD,STD,INDL,AMD,2021,ADVANCED MICRO DEVICES,7497,3162,16434,,,
USD,STD,INDL,AMD,2022,ADVANCED MICRO DEVICES,54750,1320,23601,,,
USD,STD,INDL,AMD,2023,ADVANCED MICRO DEVICES,55892,854,22680,,,
USD,STD,INDL,AMD,2024,ADVANCED MICRO DEVICES,57568,1641,25785,,,
USD,STD,INDL,HON,2010,HONEYWELL INTERNATIONAL INC,10666,2022,33370,,,
USD,STD,INDL,HON,2011,HONEYWELL INTERNATIONAL INC,10806,2067,36529,,,
USD,STD,INDL,HON,2012,HONEYWELL INTERNATIONAL INC,12975,2926,37665,,,
USD,STD,INDL,HON,2013,HONEYWELL INTERNATIONAL INC,17467,3924,39055,,,
USD,STD,INDL,HON,2014,HONEYWELL INTERNATIONAL INC,17657,4239,40306,,,
USD,STD,INDL,HON,2015,HONEYWELL INTERNATIONAL INC,18283,4768,38581,,,
USD,STD,INDL,HON,2016,HONEYWELL INTERNATIONAL INC,19369,4809,39302,,,
USD,STD,INDL,HON,2017,HONEYWELL INTERNATIONAL INC,17276,1655,40534,,,
USD,STD,INDL,HON,2018,HONEYWELL INTERNATIONAL INC,18180,6765,41802,,,
USD,STD,INDL,HON,2019,HONEYWELL INTERNATIONAL INC,18494,6143,36709,,,
USD,STD,INDL,HON,2020,HONEYWELL INTERNATIONAL INC,17549,4779,32637,,,
USD,STD,INDL,HON,2021,HONEYWELL INTERNATIONAL INC,18569,5542,34392,,,
USD,STD,INDL,HON,2022,HONEYWELL INTERNATIONAL INC,16697,4966,35466,,,
USD,STD,INDL,HON,2023,HONEYWELL INTERNATIONAL INC,15856,5658,36662,,,
USD,STD,INDL,HON,2024,HONEYWELL INTERNATIONAL INC,18619,5705,38498,,,
USD,STD,INDL,HON,2025,HONEYWELL INTERNATIONAL INC,15440,5139,37442,,,
USD,STD,FS,AXP,2010,AMERICAN EXPRESS CO,16230,,30242,,,
USD,STD,INDL,AXP,2010,AMERICAN EXPRESS CO,16230,4057,30242,,,
USD,STD,FS,AXP,2011,AMERICAN EXPRESS CO,18794,,32282,,,
USD,STD,INDL,AXP,2011,AMERICAN EXPRESS CO,18794,4935,32282,,,
USD,STD,FS,AXP,2012,AMERICAN EXPRESS CO,18886,,33808,,,
USD,STD,INDL,AXP,2012,AMERICAN EXPRESS CO,18886,4482,33808,,,
USD,STD,FS,AXP,2013,AMERICAN EXPRESS CO,19496,,34932,,,
USD,STD,INDL,AXP,2013,AMERICAN EXPRESS CO,19496,5359,34932,,,
USD,STD,FS,AXP,2014,AMERICAN EXPRESS CO,20673,,35280,,,
USD,STD,INDL,AXP,2014,AMERICAN EXPRESS CO,20673,5885,35280,,,
USD,STD,FS,AXP,2015,AMERICAN EXPRESS CO,20673,,34441,,,
USD,STD,INDL,AXP,2015,AMERICAN EXPRESS CO,20673,5163,34441,,,
USD,STD,FS,AXP,2016,AMERICAN EXPRESS CO,20501,,33823,,,
USD,STD,INDL,AXP,2016,AMERICAN EXPRESS CO,20501,5408,33823,,,
USD,STD,FS,AXP,2017,AMERICAN EXPRESS CO,18227,,35583,,,
USD,STD,INDL,AXP,2017,AMERICAN EXPRESS CO,18227,2736,35583,,,
USD,STD,FS,AXP,2018,AMERICAN EXPRESS CO,22290,,43281,,,
USD,STD,INDL,AXP,2018,AMERICAN EXPRESS CO,22290,6921,43281,,,
USD,STD,FS,AXP,2019,AMERICAN EXPRESS CO,23071,,47020,,,
USD,STD,INDL,AXP,2019,AMERICAN EXPRESS CO,23071,6759,47020,,,
USD,STD,FS,AXP,2020,AMERICAN EXPRESS CO,22984,,38185,,,
USD,STD,INDL,AXP,2020,AMERICAN EXPRESS CO,22984,3135,38185,,,
